PPSORT,AGEIMM,BedRm,CMA,CONDO,COW,DIST,GENSTAT,HHSIZE,IMMCAT5,MODE,MTNEn,MTNFr,NAICS,NOC16,NOCS,PKIDS,POWST,PR,PRIHM,PWDUR,PWLEAVE,ROOMS,Sex,SHELCO,Subsidy,Tenur,VisMin,Wages,WKSWRK,aboriginal,age,STEM,YrEd,PrMinWage_V,PrMinWage_Vstat,PartTime,Married
453942,2,2,535,0,1,2,1,7,21,6,0,0,17,21,7,0,4,35,0,22,6,3,0,1200,0,2,1,6000,34.5,0,22,0,12,11.25,11.25,1,1
813240,7,2,999,1,1,2,1,3,21,6,0,0,15,12,4,0,4,48,1,22,6,3,0,1300,0,2,1,54000,44,0,42,0,16,11.2,11.2,0,1
169150,11,3,933,0,1,17,1,3,21,5,0,0,5,30,10,1,5,59,1,37,6,4,0,1400,0,2,1,33000,50.5,0,57,0,16,10.45,10.45,0,0
646062,5,2,535,0,1,17,1,4,23,6,0,0,3,10,3,1,4,35,1,52,8,3,1,1000,0,2,1,53000,50.5,0,32,0,12,11.25,11.25,0,1
901740,0,4,999,0,1,2,4,7,1,2,1,0,14,88,88,1,4,46,0,7,8,7,1,2311,1,2,0,40000,50.5,1,42,0,13,11,11,0,1
494917,0,5,577,0,1,2,4,6,1,2,1,0,17,23,7,1,4,35,0,7,9,8,1,2300,0,2,0,6000,50.5,0,17,0,14,11.25,11.25,1,0
710078,0,3,462,0,1,7,4,4,1,2,0,1,7,8,2,1,5,24,0,37,7,5,0,600,1,2,0,32000,50.5,0,47,0,12,10.75,10.75,0,1
749909,0,3,999,0,1,22,4,2,1,2,0,1,14,6,2,0,6,24,0,37,7,5,0,1000,0,2,0,5000,5,0,62,0,12,10.75,10.75,0,1
727661,0,5,539,0,1,12,4,3,1,2,1,0,6,88,88,1,5,35,0,22,7,11,0,900,0,2,0,7000,50.5,1,22,0,14,11.25,11.25,1,0
765592,0,2,205,0,1,7,1,3,3,2,0,0,12,9,3,1,4,12,1,22,8,5,1,1200,0,2,1,16000,50.5,0,37,0,16,10.7,10.7,0,1
105662,0,3,999,0,1,35,4,6,1,2,1,0,4,24,8,1,6,48,0,22,6,5,1,2100,0,2,0,47000,50.5,1,32,0,9,11.2,11.2,0,0
26665,0,3,539,0,1,2,2,3,1,2,1,0,16,2,1,1,4,35,1,7,8,9,0,1200,0,2,0,34000,44,0,37,0,12,11.25,11.25,0,1
85141,0,4,588,0,1,2,4,2,1,2,1,0,7,25,8,0,4,35,0,7,7,8,1,1600,0,2,0,68000,50.5,0,32,0,13,11.25,11.25,0,1
659190,5,1,535,1,1,27,1,2,21,2,0,0,15,15,5,0,6,35,1,37,9,3,0,200,0,2,1,52000,50.5,0,27,0,14,11.25,11.25,0,1
655574,0,2,988,0,1,17,3,2,1,2,1,0,4,3,1,0,5,59,1,22,6,7,1,1600,0,2,0,46000,50.5,0,57,0,12,10.45,10.45,0,1
500898,10,1,535,0,1,2,1,5,21,2,1,0,5,29,10,1,4,35,1,7,7,3,1,1400,0,2,1,25000,50.5,0,47,0,18,11.25,11.25,0,1
101562,0,2,462,0,1,2,3,2,1,7,0,1,7,3,1,0,5,24,1,7,6,4,1,700,0,2,0,37000,44,0,62,0,12,10.75,10.75,0,1
716452,7,1,421,0,1,7,1,4,21,2,0,0,12,9,3,1,4,24,1,22,7,3,1,800,0,2,0,51000,34.5,0,42,0,16,10.75,10.75,0,1
502673,0,1,933,0,3,2,4,2,1,7,1,0,13,23,7,0,4,59,1,7,8,3,0,800,0,2,0,1000,14.5,0,27,0,12,10.45,10.45,1,1
808544,0,2,999,0,1,7,4,5,1,2,1,0,13,10,3,1,5,35,1,22,9,5,0,1000,0,2,0,14000,24.5,0,32,0,12,11.25,11.25,0,1
709162,0,1,462,1,1,2,1,2,3,2,0,1,12,14,5,0,4,24,1,22,8,4,1,1500,0,2,0,74000,44,0,32,1,18,10.75,10.75,0,1
496928,0,3,999,0,1,7,4,4,1,4,0,1,5,29,10,1,5,24,0,7,6,5,0,600,0,2,0,34000,50.5,0,32,0,9,10.75,10.75,0,1
585490,0,3,559,0,1,2,4,3,1,2,1,0,7,3,1,1,4,35,1,7,8,9,0,1100,0,2,0,56000,50.5,0,47,0,12,11.25,11.25,0,0
172738,0,1,999,0,1,2,4,2,1,7,1,0,7,21,7,0,4,11,1,7,7,3,1,1000,0,2,0,39000,50.5,0,27,0,12,10.75,10.75,0,1
882644,0,2,999,0,1,17,4,2,1,2,1,0,7,22,7,0,4,46,1,7,14,5,0,1000,0,2,0,29000,50.5,1,47,0,9,11,11,0,1
268723,0,1,462,0,1,22,4,2,1,2,0,1,15,6,2,1,6,24,1,37,9,4,0,800,0,2,0,26000,50.5,0,32,0,14,10.75,10.75,1,0
850953,0,1,462,0,1,2,1,4,3,6,0,0,5,9,3,1,4,24,1,37,7,3,1,800,0,2,1,73000,50.5,0,37,1,18,10.75,10.75,0,1
55682,9,2,535,0,1,2,1,5,21,6,1,0,15,15,5,1,4,35,1,22,14,4,0,1000,0,2,1,30000,44,0,47,0,16,11.25,11.25,0,1
514860,0,2,532,0,1,35,4,2,1,2,1,0,5,30,10,1,5,35,1,22,5,5,0,1000,0,2,0,31000,50.5,0,52,0,12,11.25,11.25,0,0
614194,0,2,999,0,1,2,4,2,1,2,1,0,5,10,3,0,4,59,0,7,8,5,1,500,0,2,0,27000,44,0,22,0,12,10.45,10.45,0,1
383752,9,3,535,0,1,2,1,3,22,2,1,0,4,8,2,1,4,35,0,22,7,8,0,1400,0,2,0,4000,14.5,0,47,0,13,11.25,11.25,0,1
316345,0,1,933,0,1,7,4,2,1,2,1,0,10,21,7,0,5,59,0,37,6,3,0,1400,0,2,0,53000,50.5,0,32,0,16,10.45,10.45,0,1
211326,0,2,835,0,1,2,4,2,1,7,1,0,17,19,7,0,5,48,0,22,9,3,0,1100,0,2,0,16000,44,0,22,0,9,11.2,11.2,0,1
306289,0,2,999,0,1,2,4,3,1,1,1,0,16,17,6,1,4,35,0,37,8,4,0,1300,0,2,0,3000,24.5,0,22,0,12,11.25,11.25,1,0
412753,6,3,462,0,1,12,1,5,22,6,0,0,5,19,7,1,4,24,0,70,7,5,0,400,1,2,1,12000,44,0,42,0,17,10.75,10.75,0,1
460969,0,2,999,0,1,7,4,2,1,2,1,0,4,23,7,1,4,48,0,22,7,4,1,1200,0,2,0,42000,50.5,0,32,0,12,11.2,11.2,0,0
732416,0,1,999,0,1,2,4,2,1,2,0,1,13,28,9,1,4,24,0,7,7,3,1,600,0,2,0,7000,34.5,0,22,0,9,10.75,10.75,0,0
68679,6,2,535,0,1,7,1,4,21,1,0,0,5,30,10,1,6,35,1,37,9,3,1,1300,0,2,1,51000,44,0,47,0,12,11.25,11.25,0,1
912337,0,3,999,1,1,12,4,3,1,5,1,0,18,8,2,1,5,13,1,37,7,7,0,1300,0,2,0,12000,50.5,0,32,0,12,10.65,10.65,1,0
587240,0,2,999,0,1,2,4,2,1,2,0,1,15,12,4,1,4,24,1,7,8,4,0,700,0,2,0,35000,50.5,0,47,0,13,10.75,10.75,0,0
339910,7,3,535,1,1,2,1,4,21,6,0,0,15,12,4,1,4,35,1,52,9,4,0,1100,0,2,1,36000,44,0,52,0,18,11.25,11.25,1,1
334136,5,2,535,0,1,35,1,4,23,2,0,0,18,21,7,1,6,35,0,52,9,4,1,200,1,2,1,4000,34.5,0,27,0,9,11.25,11.25,1,0
403141,0,3,999,0,1,35,4,5,1,2,0,1,12,24,8,1,7,24,1,70,6,8,1,800,0,2,0,75000,50.5,1,37,0,13,10.75,10.75,0,1
694938,0,5,535,0,1,12,3,6,1,2,1,0,4,20,7,1,5,35,0,22,9,11,1,3904,0,2,0,17000,44,0,32,0,16,11.25,11.25,0,1
370872,2,2,835,0,1,17,1,2,23,6,1,0,12,14,5,0,4,48,1,70,6,3,1,1400,0,2,1,16000,5,0,27,0,14,11.2,11.2,0,1
766409,0,3,835,0,1,2,3,2,1,2,0,0,15,8,2,1,4,48,1,22,6,6,0,1600,0,2,0,58000,50.5,0,57,0,12,11.2,11.2,0,0
145293,0,3,999,0,1,2,4,6,1,2,1,0,13,23,7,1,4,59,0,7,8,4,0,900,0,2,0,2000,34.5,0,32,0,12,10.45,10.45,1,1
290617,0,2,602,0,1,2,4,2,1,2,1,0,16,6,2,0,4,46,1,7,7,6,1,500,0,2,0,55000,50.5,0,37,0,12,11,11,0,1
873188,0,4,933,0,1,2,4,4,1,2,1,0,14,13,5,1,4,59,1,7,8,7,0,1100,0,2,0,71000,44,0,42,0,18,10.45,10.45,0,1
627478,0,4,999,0,1,35,3,4,1,6,1,0,8,27,8,1,6,59,0,52,5,6,1,1700,0,2,0,7000,44,0,32,0,12,10.45,10.45,0,1
808355,10,3,462,0,1,7,1,5,21,6,0,0,14,13,5,1,4,24,1,70,6,5,1,1000,0,2,0,60000,50.5,0,57,0,16,10.75,10.75,0,1
458475,0,3,999,0,1,7,4,4,1,2,1,0,8,7,2,1,5,10,0,7,6,7,1,1500,0,2,0,42000,50.5,0,42,0,12,10.5,10.5,0,1
476133,6,3,462,1,1,2,1,3,21,2,0,0,12,5,2,1,5,24,1,22,7,5,0,1000,0,2,0,44000,50.5,0,42,0,14,10.75,10.75,1,0
589530,0,2,462,1,1,12,2,4,1,2,1,0,15,6,2,1,4,24,0,70,6,4,0,700,0,2,0,25000,50.5,0,22,0,13,10.75,10.75,0,0
417948,0,5,835,0,1,7,3,5,1,2,1,0,15,15,5,1,4,48,1,22,8,11,0,2100,0,2,0,96000,50.5,1,37,0,15,11.2,11.2,0,0
415512,0,2,535,0,1,2,4,2,1,4,1,0,11,23,7,0,4,35,1,7,8,5,1,0,0,2,0,53000,50.5,0,52,0,14,11.25,11.25,0,1
874576,0,1,535,0,1,2,4,3,1,6,1,0,12,13,5,1,4,35,0,37,8,4,0,2300,0,2,0,82000,34.5,0,37,0,16,11.25,11.25,0,1
546016,6,1,462,0,1,2,1,2,22,6,0,1,17,19,7,0,4,24,0,37,5,2,1,900,0,2,0,18000,44,0,27,0,12,10.75,10.75,0,1
396391,0,2,999,0,1,2,4,2,1,7,0,1,3,30,10,0,4,24,0,7,5,4,1,200,0,2,0,32000,50.5,0,52,0,13,10.75,10.75,0,1
301205,0,3,462,0,1,2,3,3,1,2,1,0,5,30,10,1,4,24,0,7,7,6,1,1900,0,2,0,25000,50.5,0,32,0,9,10.75,10.75,0,0
539088,0,2,462,1,1,2,4,2,1,4,1,0,18,19,7,0,4,24,0,22,9,5,1,800,0,2,0,19000,50.5,0,22,0,13,10.75,10.75,0,1
299794,4,2,535,0,1,2,1,3,21,2,0,0,4,26,8,1,4,35,0,22,7,3,1,1400,1,2,0,22000,50.5,0,27,0,9,11.25,11.25,0,0
860755,0,1,421,0,1,2,4,2,1,6,0,1,19,21,7,0,4,24,1,37,7,3,0,600,0,2,0,68000,50.5,0,32,0,16,10.75,10.75,0,1
869778,7,1,535,0,1,7,1,2,23,6,0,0,8,7,2,1,4,35,1,52,6,3,0,1000,0,2,1,6000,14.5,0,37,0,14,11.25,11.25,0,1
823144,0,2,535,0,1,7,2,3,1,6,0,0,14,6,2,1,4,35,0,37,8,5,0,2000,0,2,1,4000,34.5,0,37,0,18,11.25,11.25,0,1
499309,0,3,999,0,3,2,4,3,1,2,1,0,6,25,8,1,4,35,1,7,6,5,1,1300,0,2,0,43000,50.5,0,57,0,13,11.25,11.25,0,1
1087,0,3,933,0,1,7,4,4,1,2,1,0,8,7,2,1,4,59,1,7,8,6,1,1300,1,2,0,64000,50.5,0,42,0,12,10.45,10.45,0,1
879139,0,1,535,0,1,2,1,2,1,6,1,0,18,15,5,0,4,35,0,22,8,4,0,1600,0,2,0,52000,50.5,0,32,0,18,11.25,11.25,0,1
781049,0,4,577,0,1,35,4,4,1,5,1,0,17,88,88,1,6,35,0,7,7,8,0,1900,0,2,0,6000,14.5,0,22,0,12,11.25,11.25,0,0
840285,0,4,933,0,1,27,4,4,1,6,1,0,5,17,6,0,5,59,0,70,5,6,1,2100,0,2,1,42000,44,0,32,0,13,10.45,10.45,0,1
173573,0,2,999,0,1,27,4,2,1,2,0,1,13,21,7,1,6,35,1,52,7,4,0,1100,0,2,0,48000,50.5,1,47,0,15,11.25,11.25,0,0
275713,0,2,535,0,1,2,4,2,1,2,1,0,14,13,5,1,4,35,1,7,8,6,0,1900,0,2,0,98000,50.5,0,57,0,16,11.25,11.25,0,0
9456,0,3,421,0,1,12,4,4,1,2,0,1,5,30,10,1,6,24,0,22,6,6,1,900,0,2,0,21000,50.5,0,27,0,13,10.75,10.75,0,1
352250,0,2,499,0,1,2,4,2,1,6,0,1,12,9,3,0,4,24,1,22,9,4,1,700,0,2,0,21000,14.5,0,27,0,12,10.75,10.75,0,1
793890,0,1,835,0,1,12,2,2,1,2,1,0,17,23,7,1,4,48,0,7,14,2,1,900,0,2,1,15000,24.5,0,22,0,12,11.2,11.2,1,0
431707,0,1,462,0,1,7,4,2,1,6,0,1,15,12,4,0,4,24,1,37,6,4,0,1000,0,2,0,50000,50.5,0,32,1,18,10.75,10.75,0,1
896657,0,2,933,0,1,12,4,2,1,2,1,0,8,4,1,0,5,59,0,22,14,4,1,1000,0,2,0,69000,50.5,1,47,0,12,10.45,10.45,0,1
357735,0,3,933,0,1,17,4,2,1,6,1,0,18,14,5,0,5,59,1,70,7,6,0,1900,0,2,0,130000,34.5,0,62,0,21,10.45,10.45,0,1
